feature	group	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out
Ly6a	15	2.273370099962444	0.8023174488789799	41590766	0.6718030629520373	1.2248514061900983e-94	8.413686733797302e-92	82.77347114556417	61.467631835571225
Rtp4	15	0.928689306368549	0.8328012942334369	45899757.5	0.7414048992811468	0	0	53.746770025839794	6.7155502212887255
Ifit3	15	0.840517730509988	0.8251681201534118	44344366	0.7162811308516458	0	0	44.09991386735573	1.080189033080789
Ifit1	15	1.2067267562811725	1.1686490750859864	49245515	0.7954479081642906	0	0	60.895779500430656	2.5035631235466207
Mcm3	17	1.443821220941325	1.3130323894353608	48167236	0.911308356690931	0	0	88.96761133603239	9.514552217881377
Ptma	17	3.6383430424826244	1.2428556492346483	46633543	0.8822913865766736	0	0	99.89878542510121	88.98442903340374
Mcm6	17	1.6365846310880379	1.3316284029651926	46775485	0.884976882808291	0	0	90.2834008097166	20.253472157317233
Set	17	1.8030527534565097	0.8241764765971037	39456721	0.7465082608211637	1.466884530139267e-169	7.553168589401313e-168	93.52226720647774	55.90406938706843
Atp5g3	17	2.459748015545112	1.0082090488626994	43219035.5	0.8176900210606233	9.86856954517093e-263	1.167057757384042e-260	97.67206477732793	72.32555096547469
Dut	17	1.867384060925405	1.5301815796910536	47108640.5	0.891280075942054	0	0	90.78947368421053	21.543264108267753
Rps27	17	2.5723674755270634	-0.9854260156037586	8434247	0.15957319563645742	2.4447139592143625e-295	3.722999536473382e-293	97.77327935222672	97.5176178103445
H2afz	17	2.933628512567306	1.188322775333454	43073083.5	0.814928656940088	1.8748808204093186e-256	2.146472598826768e-254	98.78542510121457	75.86593640764903
Anp32b	17	1.903988599024818	1.0480674663406493	42752720.5	0.8088674937237769	7.192647390442056e-276	9.363492782275072e-274	93.82591093117408	50.120567508458414
Txn1	17	2.018126335513517	1.074453642754856	42222858	0.7988426684639851	3.2417037203472834e-255	3.67222472320744e-253	94.53441295546558	51.71691870572182
Prdx1	17	1.9804526089690153	0.9602622897373005	41175593	0.7790287570705656	5.090541552466083e-216	4.279899323473111e-214	95.95141700404858	56.363908256537755
Ybx1	17	2.1432509141128744	0.8906490850857056	40934572	0.7744687185531385	4.2787473352656995e-200	3.0095720635959286e-198	96.45748987854252	66.05417126193991
Hmgn2	17	1.455191113233592	1.0033935493255446	41744064.5	0.7897840519870235	0	0	81.88259109311741	27.797820438529264
Stmn1	17	1.6252583594693133	1.449081997639769	46298178	0.8759463904253135	0	0	83.80566801619433	9.694001532796232
Ran	17	2.1187248123376206	1.2532952358904392	45015349	0.8516756851702835	0	0	95.95141700404858	50.070097388638615
Mcm7	17	1.0990438856575364	0.9738396694759507	44538584	0.8426554472500974	0	0	76.92307692307693	9.325756584481374
Hmgb1	17	2.1532406687007803	0.8471525531888051	39123319.5	0.7402004134478312	4.2221203475674366e-153	1.743109404363359e-151	95.1417004048583	67.3477017402845
Trbv12-1	17	0.909478058481231	0.820118300033152	33623557.5	0.6361467145722879	0	0	30.364372469635626	3.463745630596108
Pcbp1	17	1.643474523795638	0.8490924285111188	39903177.5	0.7549550718308091	2.792882237178118e-192	1.806978016579069e-190	88.66396761133603	47.9447445651158
Mcm2	17	0.9127502629054045	0.8169194626764813	43255451	0.8183789904144612	0	0	71.05263157894737	7.411630558722919
Tpi1	17	1.2360727741946023	0.8338110392839725	39964744	0.7561198898814486	1.6079784006515762e-295	2.4603593680111914e-293	76.21457489878543	23.309718301960856
Gapdh	17	2.3906161493741585	0.8045043139860719	38956798.5	0.737049890572395	1.445810566654629e-146	5.446673762478961e-145	97.8744939271255	74.45464231639157
Lig1	17	1.0658684469943174	0.9428901960473658	44591062.5	0.8436483233120871	0	0	77.7327935222672	8.34252387984373
Ldha	17	2.279802442085924	1.0831982260718862	42505219.5	0.8041848557250061	2.679604369438135e-249	2.8551494081620524e-247	95.8502024291498	61.85206647101707
Hmgb2	17	2.17576996140934	1.0938362395154368	40955731	0.7748690399151369	6.348545893426328e-211	5.035941134380074e-209	95.8502024291498	55.38441407929417
Mcm5	17	1.1403846314969888	1.0560221004835946	46391271.5	0.8777076890081014	0	0	81.17408906882592	6.581677477241714
