sample_id	age	genotype	new_annotation	entropy
262	6mos	WT	18_Cycling MHCII low	1.09861228866811
137	6mos	CD70-/-	0_Follicular	4.29045944114839
137	6mos	CD70-/-	1_Marginal Zone	4.49980967033027
137	6mos	CD70-/-	17_Ig-restricted	1.79175946922805
137	6mos	CD70-/-	6_Follicular	2.89037175789616
137	6mos	CD70-/-	9_Follicular Hspa1+	3.49650756146648
137	6mos	CD70-/-	5_Atypical Marginal Zone	1.74100372028366
137	6mos	CD70-/-	2_Transitional (T2)	3.86352857645512
137	6mos	CD70-/-	3_Atypical CD21lowCD23low	3.04284548781654
137	6mos	CD70-/-	8_Age-associated/autoimmune	0.951052219432685
137	6mos	CD70-/-	19_Cycling MHCII low	1.6094379124341
137	6mos	CD70-/-	22_Pre-plasmablasts	2.39789527279837
137	6mos	CD70-/-	13_Follicular	1.6094379124341
137	6mos	CD70-/-	11_Follicular	3.13549421592915
137	6mos	CD70-/-	7_Age-associated/autoimmune	1.50088652367972
137	6mos	CD70-/-	27_Light Zone	1.38629436111989
137	6mos	CD70-/-	21_Cycling MHCII low	1.27703425946614
137	6mos	CD70-/-	4_Atypical CD21-CD23-	3.10454748765471
137	6mos	CD70-/-	10_Follicular IFN-stimulated	2.89037175789616
137	6mos	CD70-/-	12_Follicular	3.09104245335832
137	6mos	CD70-/-	15_Plasmablasts	2.17157089695751
137	6mos	CD70-/-	14_Follicular Serpina3+	2.19722457733622
137	6mos	CD70-/-	16_Other	NA
137	6mos	CD70-/-	20_Ig-restricted	1.79175946922805
137	6mos	CD70-/-	24_Follicular	2.07944154167984
137	6mos	CD70-/-	18_Cycling MHCII low	2.45831132968308
137	6mos	CD70-/-	25_Ig-restricted	1.38629436111989
137	6mos	CD70-/-	23_Ig-restricted	NA
138	6mos	CD70-/-	8_Age-associated/autoimmune	1.79020717174872
138	6mos	CD70-/-	0_Follicular	4.11087386417331
138	6mos	CD70-/-	17_Ig-restricted	1.79175946922805
138	6mos	CD70-/-	23_Ig-restricted	1.6094379124341
138	6mos	CD70-/-	2_Transitional (T2)	3.49650756146648
138	6mos	CD70-/-	6_Follicular	2.484906649788
138	6mos	CD70-/-	9_Follicular Hspa1+	3.29583686600433
138	6mos	CD70-/-	11_Follicular	2.83321334405622
138	6mos	CD70-/-	16_Other	1.09861228866811
138	6mos	CD70-/-	5_Atypical Marginal Zone	3.17805383034795
138	6mos	CD70-/-	4_Atypical CD21-CD23-	3.13549421592915
138	6mos	CD70-/-	12_Follicular	2.56494935746154
138	6mos	CD70-/-	13_Follicular	1.79175946922805
138	6mos	CD70-/-	3_Atypical CD21lowCD23low	2.87147611805487
138	6mos	CD70-/-	1_Marginal Zone	3.91202300542815
138	6mos	CD70-/-	7_Age-associated/autoimmune	1.91877695489499
138	6mos	CD70-/-	21_Cycling MHCII low	1.38629436111989
138	6mos	CD70-/-	22_Pre-plasmablasts	2.39789527279837
138	6mos	CD70-/-	10_Follicular IFN-stimulated	2.39789527279837
138	6mos	CD70-/-	14_Follicular Serpina3+	2.07944154167984
138	6mos	CD70-/-	20_Ig-restricted	2.07944154167984
138	6mos	CD70-/-	19_Cycling MHCII low	NA
138	6mos	CD70-/-	15_Plasmablasts	3.17805383034795
138	6mos	CD70-/-	27_Light Zone	1.38629436111989
138	6mos	CD70-/-	25_Ig-restricted	NA
138	6mos	CD70-/-	18_Cycling MHCII low	NA
138	6mos	CD70-/-	24_Follicular	1.09861228866811
140	6mos	CD70-/-	9_Follicular Hspa1+	3.91202300542815
140	6mos	CD70-/-	0_Follicular	5.04342511691925
140	6mos	CD70-/-	12_Follicular	3.40119738166216
140	6mos	CD70-/-	6_Follicular	3.3322045101752
140	6mos	CD70-/-	19_Cycling MHCII low	1.38629436111989
140	6mos	CD70-/-	3_Atypical CD21lowCD23low	3.68887945411394
140	6mos	CD70-/-	1_Marginal Zone	4.64075754671829
140	6mos	CD70-/-	16_Other	1.4205719259467
140	6mos	CD70-/-	10_Follicular IFN-stimulated	3.36729582998647
140	6mos	CD70-/-	4_Atypical CD21-CD23-	2.89037175789616
140	6mos	CD70-/-	13_Follicular	2.63905732961526
140	6mos	CD70-/-	11_Follicular	2.70805020110221
140	6mos	CD70-/-	2_Transitional (T2)	4.63472898822963
140	6mos	CD70-/-	5_Atypical Marginal Zone	3.2188758248682
140	6mos	CD70-/-	23_Ig-restricted	2.77258872223978
140	6mos	CD70-/-	8_Age-associated/autoimmune	2.45831132968308
140	6mos	CD70-/-	21_Cycling MHCII low	1.05492016798614
140	6mos	CD70-/-	20_Ig-restricted	2.89037175789616
140	6mos	CD70-/-	18_Cycling MHCII low	2.07944154167984
140	6mos	CD70-/-	17_Ig-restricted	2.19722457733622
140	6mos	CD70-/-	24_Follicular	2.30258509299405
140	6mos	CD70-/-	25_Ig-restricted	2.30258509299405
140	6mos	CD70-/-	7_Age-associated/autoimmune	2.39789527279837
140	6mos	CD70-/-	15_Plasmablasts	2.16395565688206
140	6mos	CD70-/-	14_Follicular Serpina3+	1.6094379124341
140	6mos	CD70-/-	22_Pre-plasmablasts	1.38629436111989
140	6mos	CD70-/-	27_Light Zone	2.19722457733622
141	6mos	CD70-/-	4_Atypical CD21-CD23-	3.71357206670431
141	6mos	CD70-/-	0_Follicular	5.17614973257383
141	6mos	CD70-/-	2_Transitional (T2)	4.31748811353631
141	6mos	CD70-/-	1_Marginal Zone	4.43081679884331
141	6mos	CD70-/-	13_Follicular	2.56494935746154
141	6mos	CD70-/-	6_Follicular	3.73766961828337
141	6mos	CD70-/-	9_Follicular Hspa1+	4.49980967033027
141	6mos	CD70-/-	10_Follicular IFN-stimulated	3.55534806148941
141	6mos	CD70-/-	19_Cycling MHCII low	1.38629436111989
141	6mos	CD70-/-	3_Atypical CD21lowCD23low	3.71357206670431
141	6mos	CD70-/-	5_Atypical Marginal Zone	3.61091791264422
141	6mos	CD70-/-	17_Ig-restricted	2.39789527279837
141	6mos	CD70-/-	12_Follicular	3.55534806148941
