sample_id	age	genotype	new_annotation	clonality_trust4
079	14mos	CD70-/-	4_Naïve	0
079	14mos	CD70-/-	0_Naïve	0
079	14mos	CD70-/-	11_Cycling	NA
079	14mos	CD70-/-	6_CM/EM	0.0054173896738775
079	14mos	CD70-/-	2_Exhausted CTLs	0
079	14mos	CD70-/-	3_Activated CTLs	0
079	14mos	CD70-/-	8_Precursor exhausted CTLs	-2.22044604925031e-16
079	14mos	CD70-/-	5_Other	NA
079	14mos	CD70-/-	7_CM/EM	0
079	14mos	CD70-/-	13_Early exhausted CTLs	NA
010b	14mos	CD70-/-	1_CM/EM	0.0311375505853998
010b	14mos	CD70-/-	0_Naïve	1.11022302462516e-16
010b	14mos	CD70-/-	9_Non-exhausted effectors	NA
010b	14mos	CD70-/-	7_CM/EM	0.0244962409938916
010b	14mos	CD70-/-	4_Naïve	0
010b	14mos	CD70-/-	6_CM/EM	0
010b	14mos	CD70-/-	13_Early exhausted CTLs	2.22044604925031e-16
010b	14mos	CD70-/-	5_Other	0
010b	14mos	CD70-/-	8_Precursor exhausted CTLs	NA
008	14mos	CD70-/-	1_CM/EM	0.00175805329641854
008	14mos	CD70-/-	0_Naïve	-2.22044604925031e-16
008	14mos	CD70-/-	7_CM/EM	0
008	14mos	CD70-/-	13_Early exhausted CTLs	NA
008	14mos	CD70-/-	4_Naïve	0
008	14mos	CD70-/-	6_CM/EM	0
008	14mos	CD70-/-	3_Activated CTLs	NA
008	14mos	CD70-/-	11_Cycling	0
008	14mos	CD70-/-	9_Non-exhausted effectors	0.0328679819136461
008	14mos	CD70-/-	5_Other	NA
008	14mos	CD70-/-	2_Exhausted CTLs	NA
008	14mos	CD70-/-	8_Precursor exhausted CTLs	NA
075	14mos	CD70-/-	1_CM/EM	0.882405334341135
075	14mos	CD70-/-	11_Cycling	1
075	14mos	CD70-/-	0_Naïve	0
075	14mos	CD70-/-	6_CM/EM	1
075	14mos	CD70-/-	7_CM/EM	0.408327221417673
075	14mos	CD70-/-	3_Activated CTLs	2.22044604925031e-16
075	14mos	CD70-/-	8_Precursor exhausted CTLs	2.22044604925031e-16
075	14mos	CD70-/-	9_Non-exhausted effectors	2.22044604925031e-16
075	14mos	CD70-/-	2_Exhausted CTLs	2.22044604925031e-16
075	14mos	CD70-/-	13_Early exhausted CTLs	1
075	14mos	CD70-/-	5_Other	NA
075	14mos	CD70-/-	4_Naïve	2.22044604925031e-16
076	14mos	CD70-/-	7_CM/EM	NA
076	14mos	CD70-/-	5_Other	NA
076	14mos	CD70-/-	6_CM/EM	NA
076	14mos	CD70-/-	9_Non-exhausted effectors	NA
076	14mos	CD70-/-	1_CM/EM	NA
076	14mos	CD70-/-	3_Activated CTLs	NA
076	14mos	CD70-/-	4_Naïve	NA
126	14mos	CD70-/-	6_CM/EM	0
126	14mos	CD70-/-	4_Naïve	0.0118909084258794
126	14mos	CD70-/-	7_CM/EM	0.00653744273195178
126	14mos	CD70-/-	3_Activated CTLs	0
126	14mos	CD70-/-	0_Naïve	0.00544671825123122
126	14mos	CD70-/-	1_CM/EM	0.00175805329641854
126	14mos	CD70-/-	8_Precursor exhausted CTLs	-2.22044604925031e-16
126	14mos	CD70-/-	5_Other	2.22044604925031e-16
126	14mos	CD70-/-	13_Early exhausted CTLs	2.22044604925031e-16
126	14mos	CD70-/-	2_Exhausted CTLs	NA
126	14mos	CD70-/-	9_Non-exhausted effectors	NA
035	14mos	Bcl6tg/+	2_Exhausted CTLs	0
035	14mos	Bcl6tg/+	6_CM/EM	NA
035	14mos	Bcl6tg/+	1_CM/EM	NA
035	14mos	Bcl6tg/+	5_Other	NA
035	14mos	Bcl6tg/+	7_CM/EM	NA
035	14mos	Bcl6tg/+	3_Activated CTLs	NA
035	14mos	Bcl6tg/+	4_Naïve	NA
035	14mos	Bcl6tg/+	9_Non-exhausted effectors	NA
035	14mos	Bcl6tg/+	0_Naïve	NA
035	14mos	Bcl6tg/+	8_Precursor exhausted CTLs	2.22044604925031e-16
035	14mos	Bcl6tg/+	16_Terminally exhausted CTLs	NA
035	14mos	Bcl6tg/+	13_Early exhausted CTLs	NA
031	14mos	Bcl6tg/+	3_Activated CTLs	0.213799226190093
031	14mos	Bcl6tg/+	2_Exhausted CTLs	0.226929901380155
031	14mos	Bcl6tg/+	11_Cycling	0.0450919715822894
031	14mos	Bcl6tg/+	5_Other	0.053605369642814
031	14mos	Bcl6tg/+	8_Precursor exhausted CTLs	0.127502512938415
031	14mos	Bcl6tg/+	1_CM/EM	0
031	14mos	Bcl6tg/+	4_Naïve	0
031	14mos	Bcl6tg/+	13_Early exhausted CTLs	0.053605369642814
031	14mos	Bcl6tg/+	7_CM/EM	-2.22044604925031e-16
031	14mos	Bcl6tg/+	0_Naïve	0
031	14mos	Bcl6tg/+	9_Non-exhausted effectors	2.22044604925031e-16
031	14mos	Bcl6tg/+	6_CM/EM	-2.22044604925031e-16
031	14mos	Bcl6tg/+	16_Terminally exhausted CTLs	0.0408520829727552
032b	14mos	Bcl6tg/+	6_CM/EM	0.0302761001317527
032b	14mos	Bcl6tg/+	13_Early exhausted CTLs	0.0174324069266364
032b	14mos	Bcl6tg/+	1_CM/EM	0.280171646739506
032b	14mos	Bcl6tg/+	3_Activated CTLs	0.0268142531953979
032b	14mos	Bcl6tg/+	2_Exhausted CTLs	0.0388627994364655
032b	14mos	Bcl6tg/+	5_Other	2.22044604925031e-16
032b	14mos	Bcl6tg/+	8_Precursor exhausted CTLs	0
032b	14mos	Bcl6tg/+	9_Non-exhausted effectors	0.0834835568003977
032b	14mos	Bcl6tg/+	7_CM/EM	0.053605369642814
032b	14mos	Bcl6tg/+	16_Terminally exhausted CTLs	0.0327039404800112
032b	14mos	Bcl6tg/+	4_Naïve	NA
032b	14mos	Bcl6tg/+	0_Naïve	NA
032b	14mos	Bcl6tg/+	11_Cycling	0
036	14mos	Bcl6tg/+	1_CM/EM	0.0171020359998184
036	14mos	Bcl6tg/+	2_Exhausted CTLs	0.0179935746290305
036	14mos	Bcl6tg/+	8_Precursor exhausted CTLs	-2.22044604925031e-16
036	14mos	Bcl6tg/+	11_Cycling	2.22044604925031e-16
036	14mos	Bcl6tg/+	6_CM/EM	0
036	14mos	Bcl6tg/+	4_Naïve	-2.22044604925031e-16
036	14mos	Bcl6tg/+	0_Naïve	0
036	14mos	Bcl6tg/+	3_Activated CTLs	0
036	14mos	Bcl6tg/+	9_Non-exhausted effectors	-2.22044604925031e-16
036	14mos	Bcl6tg/+	7_CM/EM	0
036	14mos	Bcl6tg/+	13_Early exhausted CTLs	NA
036	14mos	Bcl6tg/+	16_Terminally exhausted CTLs	NA
036	14mos	Bcl6tg/+	5_Other	2.22044604925031e-16
083	14mos	Bcl6tg/+	13_Early exhausted CTLs	0.480539702484203
083	14mos	Bcl6tg/+	1_CM/EM	0.805330217154325
083	14mos	Bcl6tg/+	3_Activated CTLs	0.0426164490053068
083	14mos	Bcl6tg/+	0_Naïve	0.563119785153962
083	14mos	Bcl6tg/+	9_Non-exhausted effectors	NA
083	14mos	Bcl6tg/+	5_Other	0.188721875540867
083	14mos	Bcl6tg/+	7_CM/EM	0.794407491814917
083	14mos	Bcl6tg/+	4_Naïve	1
083	14mos	Bcl6tg/+	11_Cycling	0.349977578351646
083	14mos	Bcl6tg/+	2_Exhausted CTLs	0.0608196004169897
083	14mos	Bcl6tg/+	8_Precursor exhausted CTLs	0
083	14mos	Bcl6tg/+	6_CM/EM	1
083	14mos	Bcl6tg/+	16_Terminally exhausted CTLs	NA
089	14mos	CD70-/-;Bcl6tg/+	1_CM/EM	0.0751663394746918
089	14mos	CD70-/-;Bcl6tg/+	7_CM/EM	0
089	14mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	NA
089	14mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	0
089	14mos	CD70-/-;Bcl6tg/+	6_CM/EM	-2.22044604925031e-16
089	14mos	CD70-/-;Bcl6tg/+	4_Naïve	2.22044604925031e-16
089	14mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	0.00971435032876433
089	14mos	CD70-/-;Bcl6tg/+	0_Naïve	0
089	14mos	CD70-/-;Bcl6tg/+	5_Other	NA
089	14mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	NA
