sample_id	age	genotype	new_annotation	entropy
160	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
160	6mos	Bcl6tg/+	9_Non-exhausted effectors	NA
160	6mos	Bcl6tg/+	13_Early exhausted CTLs	NA
160	6mos	Bcl6tg/+	3_Activated CTLs	NA
160	6mos	Bcl6tg/+	11_Cycling	NA
161	6mos	Bcl6tg/+	6_CM/EM	2.19722457733622
161	6mos	Bcl6tg/+	1_CM/EM	2.484906649788
161	6mos	Bcl6tg/+	0_Naïve	2.99573227355399
161	6mos	Bcl6tg/+	3_Activated CTLs	NA
161	6mos	Bcl6tg/+	4_Naïve	1.38629436111989
161	6mos	Bcl6tg/+	5_Other	NA
161	6mos	Bcl6tg/+	8_Precursor exhausted CTLs	NA
161	6mos	Bcl6tg/+	7_CM/EM	1.38629436111989
161	6mos	Bcl6tg/+	9_Non-exhausted effectors	NA
161	6mos	Bcl6tg/+	11_Cycling	NA
161	6mos	Bcl6tg/+	13_Early exhausted CTLs	NA
161	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
032	6mos	Bcl6tg/+	13_Early exhausted CTLs	NA
032	6mos	Bcl6tg/+	0_Naïve	4.84418708645859
032	6mos	Bcl6tg/+	1_CM/EM	3.71357206670431
032	6mos	Bcl6tg/+	5_Other	1.79175946922805
032	6mos	Bcl6tg/+	7_CM/EM	2.30258509299405
032	6mos	Bcl6tg/+	4_Naïve	3.40119738166216
032	6mos	Bcl6tg/+	9_Non-exhausted effectors	1.79175946922805
032	6mos	Bcl6tg/+	3_Activated CTLs	1.09861228866811
032	6mos	Bcl6tg/+	6_CM/EM	2.07944154167984
032	6mos	Bcl6tg/+	8_Precursor exhausted CTLs	NA
032	6mos	Bcl6tg/+	11_Cycling	NA
032	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
033	6mos	Bcl6tg/+	4_Naïve	3.2188758248682
033	6mos	Bcl6tg/+	5_Other	1.94591014905531
033	6mos	Bcl6tg/+	0_Naïve	4.77068462446567
033	6mos	Bcl6tg/+	9_Non-exhausted effectors	NA
033	6mos	Bcl6tg/+	1_CM/EM	3.46573590279973
033	6mos	Bcl6tg/+	6_CM/EM	1.6094379124341
033	6mos	Bcl6tg/+	7_CM/EM	1.09861228866811
033	6mos	Bcl6tg/+	8_Precursor exhausted CTLs	NA
033	6mos	Bcl6tg/+	3_Activated CTLs	NA
033	6mos	Bcl6tg/+	13_Early exhausted CTLs	NA
033	6mos	Bcl6tg/+	2_Exhausted CTLs	NA
145	6mos	CD70-/-;Bcl6tg/+	16_Terminally exhausted CTLs	1.79175946922805
145	6mos	CD70-/-;Bcl6tg/+	0_Naïve	2.89037175789616
145	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	2.76112309285392
145	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	3.49650756146648
145	6mos	CD70-/-;Bcl6tg/+	4_Naïve	1.38629436111989
145	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	1.79175946922805
145	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	2.07944154167984
145	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	2.42601513195981
145	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	1.09861228866811
145	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	2.19722457733622
145	6mos	CD70-/-;Bcl6tg/+	11_Cycling	2.04319187054512
145	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	1.6094379124341
145	6mos	CD70-/-;Bcl6tg/+	5_Other	1.09861228866811
146	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	3.04452243772342
146	6mos	CD70-/-;Bcl6tg/+	4_Naïve	2.07944154167984
146	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	2.63934058723243
146	6mos	CD70-/-;Bcl6tg/+	0_Naïve	3.58351893845611
146	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	3.23318348438093
146	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	2.07944154167984
146	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	1.38629436111989
146	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	2.39789527279837
