sample_id	age	genotype	new_annotation	richness
146	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	15
146	6mos	CD70-/-;Bcl6tg/+	0_Naïve	36
146	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	26
146	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	8
146	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	4
146	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	11
146	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	6
146	6mos	CD70-/-;Bcl6tg/+	5_Other	3
146	6mos	CD70-/-;Bcl6tg/+	11_Cycling	4
146	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	4
146	6mos	CD70-/-;Bcl6tg/+	16_Terminally exhausted CTLs	4
211	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	9
211	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	24
211	6mos	CD70-/-;Bcl6tg/+	4_Naïve	15
211	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	6
211	6mos	CD70-/-;Bcl6tg/+	0_Naïve	42
211	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	4
211	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	4
211	6mos	CD70-/-;Bcl6tg/+	5_Other	3
211	6mos	CD70-/-;Bcl6tg/+	11_Cycling	NA
211	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	7
211	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	NA
211	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	3
213	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	8
213	6mos	CD70-/-;Bcl6tg/+	4_Naïve	12
213	6mos	CD70-/-;Bcl6tg/+	0_Naïve	42
213	6mos	CD70-/-;Bcl6tg/+	5_Other	NA
213	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	NA
213	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	NA
213	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	4
213	6mos	CD70-/-;Bcl6tg/+	16_Terminally exhausted CTLs	NA
213	6mos	CD70-/-;Bcl6tg/+	11_Cycling	NA
213	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	3
213	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	NA
213	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	NA
213	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	NA
280	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	34
280	6mos	CD70-/-;Bcl6tg/+	5_Other	7
280	6mos	CD70-/-;Bcl6tg/+	4_Naïve	9
280	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	12
280	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	NA
280	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	NA
280	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	6
280	6mos	CD70-/-;Bcl6tg/+	0_Naïve	44
280	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	NA
280	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	NA
280	6mos	CD70-/-;Bcl6tg/+	11_Cycling	NA
280	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	NA
072	6mos	CD70-/-;Bcl6tg/+	7_CM/EM	3
072	6mos	CD70-/-;Bcl6tg/+	1_CM/EM	10
072	6mos	CD70-/-;Bcl6tg/+	2_Exhausted CTLs	16
072	6mos	CD70-/-;Bcl6tg/+	0_Naïve	29
072	6mos	CD70-/-;Bcl6tg/+	9_Non-exhausted effectors	NA
072	6mos	CD70-/-;Bcl6tg/+	6_CM/EM	7
072	6mos	CD70-/-;Bcl6tg/+	8_Precursor exhausted CTLs	6
072	6mos	CD70-/-;Bcl6tg/+	3_Activated CTLs	5
072	6mos	CD70-/-;Bcl6tg/+	4_Naïve	6
072	6mos	CD70-/-;Bcl6tg/+	5_Other	3
072	6mos	CD70-/-;Bcl6tg/+	13_Early exhausted CTLs	NA
049	14mos	WT	1_CM/EM	32
049	14mos	WT	6_CM/EM	14
049	14mos	WT	4_Naïve	22
049	14mos	WT	0_Naïve	112
049	14mos	WT	13_Early exhausted CTLs	NA
049	14mos	WT	5_Other	NA
049	14mos	WT	9_Non-exhausted effectors	4
049	14mos	WT	8_Precursor exhausted CTLs	6
049	14mos	WT	2_Exhausted CTLs	5
049	14mos	WT	7_CM/EM	7
049	14mos	WT	3_Activated CTLs	5
049	14mos	WT	11_Cycling	NA
051	14mos	WT	1_CM/EM	48
051	14mos	WT	0_Naïve	81
051	14mos	WT	5_Other	3
051	14mos	WT	7_CM/EM	11
051	14mos	WT	4_Naïve	25
051	14mos	WT	6_CM/EM	17
051	14mos	WT	8_Precursor exhausted CTLs	NA
051	14mos	WT	9_Non-exhausted effectors	5
051	14mos	WT	13_Early exhausted CTLs	3
051	14mos	WT	2_Exhausted CTLs	NA
051	14mos	WT	3_Activated CTLs	NA
051	14mos	WT	11_Cycling	NA
113	14mos	WT	8_Precursor exhausted CTLs	8
113	14mos	WT	2_Exhausted CTLs	5
113	14mos	WT	1_CM/EM	6
113	14mos	WT	9_Non-exhausted effectors	6
113	14mos	WT	0_Naïve	15
113	14mos	WT	3_Activated CTLs	7
113	14mos	WT	7_CM/EM	4
113	14mos	WT	4_Naïve	7
113	14mos	WT	5_Other	2
113	14mos	WT	6_CM/EM	6
113	14mos	WT	13_Early exhausted CTLs	NA
115	14mos	WT	0_Naïve	NA
115	14mos	WT	3_Activated CTLs	NA
115	14mos	WT	9_Non-exhausted effectors	NA
115	14mos	WT	5_Other	NA
115	14mos	WT	7_CM/EM	NA
115	14mos	WT	2_Exhausted CTLs	4
115	14mos	WT	4_Naïve	NA
115	14mos	WT	6_CM/EM	NA
115	14mos	WT	11_Cycling	NA
115	14mos	WT	1_CM/EM	NA
118	14mos	WT	0_Naïve	44
118	14mos	WT	4_Naïve	10
118	14mos	WT	13_Early exhausted CTLs	NA
118	14mos	WT	3_Activated CTLs	4
118	14mos	WT	7_CM/EM	8
118	14mos	WT	5_Other	NA
118	14mos	WT	11_Cycling	NA
118	14mos	WT	1_CM/EM	16
118	14mos	WT	6_CM/EM	5
118	14mos	WT	8_Precursor exhausted CTLs	3
118	14mos	WT	2_Exhausted CTLs	5
118	14mos	WT	9_Non-exhausted effectors	2
129	14mos	WT	0_Naïve	48
129	14mos	WT	6_CM/EM	31
129	14mos	WT	7_CM/EM	22
129	14mos	WT	1_CM/EM	62
129	14mos	WT	9_Non-exhausted effectors	2
129	14mos	WT	4_Naïve	19
129	14mos	WT	3_Activated CTLs	9
129	14mos	WT	8_Precursor exhausted CTLs	10
129	14mos	WT	13_Early exhausted CTLs	4
129	14mos	WT	11_Cycling	NA
129	14mos	WT	2_Exhausted CTLs	4
129	14mos	WT	5_Other	NA
079	14mos	CD70-/-	1_CM/EM	55
079	14mos	CD70-/-	9_Non-exhausted effectors	NA
079	14mos	CD70-/-	4_Naïve	14
079	14mos	CD70-/-	0_Naïve	78
079	14mos	CD70-/-	11_Cycling	NA
079	14mos	CD70-/-	6_CM/EM	21
079	14mos	CD70-/-	2_Exhausted CTLs	4
079	14mos	CD70-/-	3_Activated CTLs	4
079	14mos	CD70-/-	8_Precursor exhausted CTLs	5
